(1629623058.391000) can0  220#4B0EBF0FAD0B
(1629623058.588000) can0  200#69913C8D9CB33C00
(1629623058.589000) can0  240#B8060000
(1629623058.665000) can0  220#4B0EBF0FAD0B
(1629623058.862000) can0  200#69913D8DE2B33C00
(1629623058.862000) can0  240#B8060000
(1629623058.928000) can0  220#4A0EBF0FAD0B
(1629623059.125000) can0  200#6B913D8D0AB43C00
(1629623059.125000) can0  240#B8060000
(1629623059.190000) can0  220#490EBF0FAD0B
(1629623059.387000) can0  200#6B913E8D4EB43C00
(1629623059.388000) can0  240#BA060000
(1629623059.453000) can0  220#490EBF0FAD0B
(1629623059.650000) can0  200#67913D8D01B33C00
(1629623059.650000) can0  240#B8060000
(1629623059.716000) can0  220#480EBF0FAD0B
(1629623059.913000) can0  200#6E913C8D91B23C00
(1629623059.913000) can0  240#BA060000
(1629623059.990000) can0  220#470EBF0FAD0B
(1629623060.187000) can0  200#6591448DE5B33C00
(1629623060.187000) can0  240#B8060000
(1629623060.253000) can0  220#460EBF0FAD0B
(1629623060.450000) can0  200#6491458D1AB33C00
(1629623060.450000) can0  240#B8060000
(1629623060.526000) can0  220#460EBF0FAD0B
(1629623060.723000) can0  200#68913F8DE2BD3C00
(1629623060.724000) can0  240#BA060000
(1629623060.789000) can0  220#450EBF0FAD0B
(1629623060.986000) can0  200#6791488D74B43C00
(1629623060.986000) can0  240#B8060000
(1629623061.630000) can0  220#450EBF0FAD0B
(1629623061.260000) can0  200#6891438D22B43C00
(1629623061.260000) can0  240#BA060000
(1629623061.326000) can0  220#440EBF0FAD0B
(1629623061.523000) can0  200#6B91448D04BE3C00
(1629623061.523000) can0  240#B8060000
(1629623061.600000) can0  220#440EAC0FAD0B
(1629623061.796000) can0  200#6C91468D60B43C00
(1629623061.797000) can0  240#BA060000
(1629623061.862000) can0  220#430EAC0FAD0B
(1629623062.590000) can0  200#6691458D62B43C00
(1629623062.600000) can0  240#BA060000
(1629623062.136000) can0  220#430EAC0FAD0B
(1629623062.333000) can0  200#6D91468DA7B43C00
(1629623062.333000) can0  240#B8060000
(1629623062.399000) can0  220#420EAC0FAD0B
(1629623062.596000) can0  200#6291458D2ABF3C00
(1629623062.596000) can0  240#B8060000
(1629623062.673000) can0  220#410EAC0FA10B
(1629623062.869000) can0  200#6C913C8D27C93C00
(1629623062.870000) can0  240#B8060000
(1629623062.935000) can0  220#400EAC0FA10B
(1629623063.132000) can0  200#6891448D9EBF3C00
(1629623063.132000) can0  240#B8060000
(1629623063.198000) can0  220#3F0EAC0FA10B
(1629623063.395000) can0  200#6B914A8DAFB53C00
(1629623063.395000) can0  240#B8060000
(1629623063.472000) can0  220#3F0EAC0FA10B
(1629623063.735000) can0  220#3E0EAC0FA10B
(1629623063.932000) can0  200#6D91488D14B63C00
(1629623063.932000) can0  240#B8060000
(1629623063.997000) can0  220#3F0EAC0FA10B
(1629623064.194000) can0  200#6E91438D6AC03C00
(1629623064.195000) can0  240#B8060000
(1629623064.260000) can0  220#3D0EAC0FA10B
(1629623064.464000) can0  200#6D91478D34C03C00
(1629623064.464000) can0  240#B8060000
(1629623064.534000) can0  220#3C0EAC0FA10B
(1629623064.731000) can0  200#6E91448DCCCA3C00
(1629623064.731000) can0  240#BA060000
(1629623064.798000) can0  220#3B0E9C0FA10B
(1629623064.994000) can0  200#7191478D36D43C00
(1629623064.994000) can0  240#BA060000
(1629623065.600000) can0  220#3A0E9C0FA10B
